stock_code,description,total_revenue,total_quantity,total_orders,avg_unit_price
21623,VINTAGE UNION JACK MEMOBOARD,23010.09,3272,221,10.368705357142856
22139,RETROSPOT TEA SET CERAMIC 11 PC,22912.81,4527,962,5.724362139917695
22697,GREEN REGENCY TEACUP AND SAUCER,22826.3,7302,1013,3.8192026897214215
22090,PAPER BUNTING RETROSPOT,22790.960000000003,7564,798,3.7777363184079604
85066,CREAM SWEETHEART MINI CHEST,22708.95,1793,519,14.293402646502836
20727,LUNCH BAG  BLACK SKULL.,22421.21,12240,1273,2.09847891566265
15056N,EDWARDIAN PARASOL NATURAL,22176.49,3954,456,6.944521739130435
84029E,RED WOOLLY HOTTIE WHITE HEART.,22144.98,4765,429,5.116546275395034
48194,DOORMAT HEARTS,22138.57,3419,592,9.241963087248322
20712,JUMBO BAG WOODLAND ANIMALS,22092.42,9773,863,2.9266168009205984
23202,JUMBO BAG VINTAGE LEAF,21852.81,10962,879,2.2953543307086615
20724,RED RETROSPOT CHARLOTTE BAG,21776.79,17765,1032,1.1453486150907355
20728,LUNCH BAG CARS BLUE,21750.63,11817,1150,2.0593526405451446
22630,DOLLY GIRL LUNCH BOX,21635.14,11793,850,2.3258323765786453
21523,DOORMAT FANCY FONT HOME SWEET HOME,21601.69,3246,502,9.511709741550696
21843,RED RETROSPOT CAKE STAND,21365.25,2013,539,12.604501845018449
21212,PACK OF 72 RETROSPOT CAKE CASES,21259.100000000002,36419,1320,0.7584306569343066
21166,COOK WITH WINE METAL SIGN,20957.64,10364,723,2.386089918256131
23206,LUNCH BAG APPLE DESIGN,20911.98,12183,1036,2.052082166199813
22659,LUNCH BOX I LOVE LONDON,20818.7,11523,707,2.3104098360655736
22728,ALARM CLOCK BAKELIKE PINK,20702.15,5364,783,4.577742749054225
21479,WHITE SKULL HOT WATER BOTTLE,20594.45,3918,499,4.98103313840156
82494L,WOODEN FRAME ANTIQUE WHITE,19640.79,6749,910,3.2608469055374596
84946,ANTIQUE SILVER T-LIGHT GLASS,19411.62,14688,689,1.5013936781609196
22501,PICNIC BASKET WICKER LARGE,19322.16,1604,445,14.381677852348993
22328,ROUND SNACK BOXES SET OF 4 FRUITS,19130.37,6847,581,3.270403361344538
22467,GUMBALL COAT RACK,18890.47,7962,681,2.875157593123209
22969,HOMEMADE JAM SCENTED CANDLES,18788.55,12532,646,1.7919783616692428
22383,LUNCH BAG SUKI DESIGN,18750.579999999998,10332,1084,2.1114375
15036,ASSORTED COLOURS SILK FAN,18569.84,23826,518,1.0677649325626204
20726,LUNCH BAG WOODLAND,18323.38,9933,1017,2.1762247838616715
22382,LUNCH BAG SPACEBOY DESIGN,18092.36,10464,1157,2.008473282442748
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18069.280000000002,10253,262,2.30876404494382
22835,HOT WATER BOTTLE I AM SO POORLY,18055.11,3474,657,5.870624071322437
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17927.45,16244,305,1.4859344262295082
22865,HAND WARMER OWL DESIGN,17910.030000000002,8498,654,2.3551775147928997
21485,RETROSPOT HEART HOT WATER BOTTLE,17708.53,3533,623,5.629412673879443
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,17655.8,6084,879,3.2856097560975615
22698,PINK REGENCY TEACUP AND SAUCER,17551.760000000002,5824,765,3.6843253467843633
22384,LUNCH BAG PINK POLKADOT,17435.19,10515,1090,2.02645478961504
23203,JUMBO BAG DOILEY PATTERNS,17272.85,8895,514,2.240212355212355
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,17245.93,8414,662,2.6805547226386808
22077,6 RIBBONS RUSTIC CHARM,17205.37,9183,955,2.206122448979592
22385,JUMBO BAG SPACEBOY DESIGN,17081.86,8671,686,2.6517241379310343
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,17073.65,5737,264,3.9320973782771533
22197,SMALL POPCORN HOLDER,17055.149999999998,20160,589,1.0736515912897824
21754,HOME BUILDING BLOCK WORD,17049.920000000002,2780,777,6.617638190954774
82583,HOT BATHS METAL SIGN,17047.06,7306,609,2.939605055292259
22492,MINI PAINT SET VINTAGE,16937.82,26633,380,0.7850263157894737
20719,WOODLAND CHARLOTTE BAG,16759.75,13308,833,1.207452830188679
22624,IVORY KITCHEN SCALES,16528.31,1901,711,9.441473829201103
22993,SET OF 4 PANTRY JELLY MOULDS,16507.23,12672,1073,1.4950907441016332
84978,HANGING HEART JAR T-LIGHT HOLDER,16477.53,12512,728,1.48236092265943
84078A,SET/4 WHITE RETRO STORAGE CUBES,16363.300000000001,415,155,45.23225806451613
23301,GARDENERS KNEELING PAD KEEP CALM,16357.05,8825,913,1.9420626349892007
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,16164.04,3323,459,5.196545842217484
85152,HAND OVER THE CHOCOLATE   SIGN,15983.330000000002,8272,677,2.3569546120058567
23313,VINTAGE CHRISTMAS BUNTING,15833.310000000001,2997,401,5.541380145278451
15056BL,EDWARDIAN PARASOL BLACK,15828.84,2844,321,6.430311526479751
22379,RECYCLING BAG RETROSPOT,15636.99,6910,748,3.181827814569537
82483,WOOD 2 DRAWER CABINET WHITE FINISH,15240.07,2403,543,6.950486486486486
22084,PAPER CHAIN KIT EMPIRE,15122.970000000001,5189,436,3.2706726457399102
22900,SET 2 TEA TOWELS I LOVE LONDON,14975.93,4919,533,3.723652802893309
84997D,CHILDRENS CUTLERY POLKADOT PINK,14501.94,3668,358,4.501349862258953
22752,SET 7 BABUSHKA NESTING BOXES,14453.470000000001,1790,380,9.788281249999999
22866,HAND WARMER SCOTTY DOG DESIGN,14410.62,6632,548,2.3291724137931036
22847,BREAD BIN DINER STYLE IVORY,14329.539999999999,901,375,17.415146666666665
48184,DOORMAT ENGLISH ROSE,14324.0,2038,407,8.636699266503667
23200,JUMBO BAG PEARS,14197.28,7071,595,2.4279235880398673
22507,MEMO BOARD RETROSPOT  DESIGN,14193.35,2960,459,6.295599128540305
22083,PAPER CHAIN KIT RETROSPOT,14159.54,4658,610,3.7612377850162866
22625,RED KITCHEN SCALES,14141.7,1627,546,9.776943942133816
21232,STRAWBERRY CERAMIC TRINKET BOX,14130.08,10483,706,1.655
22867,HAND WARMER BIRD DESIGN,14078.69,6441,554,2.39762323943662
21930,JUMBO STORAGE BAG SKULLS,14031.16,6450,705,2.7840306834030684
23343,JUMBO BAG VINTAGE CHRISTMAS,13978.95,6081,476,2.4152965235173824
22622,BOX OF VINTAGE ALPHABET BLOCKS,13931.31,1342,267,12.382434456928838
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,13841.849999999999,55047,535,0.3206703910614525
20971,PINK BLUE FELT CRAFT TRINKET BOX,13838.1,11001,522,1.4184803001876172
22941,CHRISTMAS LIGHTS 10 REINDEER,13812.92,1672,311,9.953546325878595
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,13746.11,1811,382,10.002823834196892
23077,DOUGHNUT LIP GLOSS,13720.77,10415,344,1.3451594202898551
22551,PLASTERS IN TIN SPACEBOY,13615.31,8082,673,1.8615384615384614
21524,DOORMAT SPOTTY HOME SWEET HOME,13612.41,1757,480,9.192880658436213
23356,LOVE HOT WATER BOTTLE,13494.970000000001,2386,476,6.19846
23207,LUNCH BAG ALPHABET DESIGN,13360.2,7851,740,1.986075619295958
22558,CLOTHES PEGS RETROSPOT PACK 24,13346.039999999999,8689,772,1.8319590268886043
22554,PLASTERS IN TIN WOODLAND ANIMALS,13344.769999999999,7813,704,1.9077348066298343
23108,SET OF 10 LED DOLLY LIGHTS,13303.019999999999,2221,372,6.468746666666667
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,13284.49,2845,405,4.835060532687652
22113,GREY HEART HOT WATER BOTTLE,12805.33,3231,561,4.396125211505923
22499,WOODEN UNION JACK BUNTING,12792.25,2091,407,6.789317073170731
22427,ENAMEL FLOWER JUG CREAM,12671.060000000001,2110,506,6.5633984375
20750,RED RETROSPOT MINI CASES,12642.93,1748,385,8.12139534883721
20749,ASSORTED COLOUR MINI CASES,12614.17,1770,383,8.064407216494846
21755,LOVE BUILDING BLOCK WORD,12572.710000000001,2034,629,6.672415902140673
22607,WOODEN ROUNDERS GARDEN SET,12571.369999999999,1331,358,10.732513812154695
20723,STRAWBERRY CHARLOTTE BAG,12552.4,9798,722,1.2002876712328765
21790,VINTAGE SNAP CARDS,12515.96,14528,926,1.0148936170212766
22188,BLACK HEART CARD HOLDER,12487.17,4871,189,4.3481578947368416
22568,FELTCRAFT CUSHION OWL,12440.14,3380,470,4.1569375
22424,ENAMEL BREAD BIN CREAM,12383.83,875,454,15.880548245614035
22149,FELTCRAFT 6 FLOWER FRIENDS,12373.880000000001,6078,547,2.4514847942754923
23174,REGENCY SUGAR BOWL GREEN,12350.73,3057,322,4.793138461538462
21977,PACK OF 60 PINK PAISLEY CAKE CASES,12245.02,24854,869,0.7425056179775281
48188,DOORMAT WELCOME PUPPIES,12114.97,2065,287,8.81625
47590B,PINK HAPPY BIRTHDAY BUNTING,12071.92,2327,393,5.819848866498741
22273,FELTCRAFT DOLL MOLLY,12016.34,4514,331,3.2620414201183436
22191,IVORY DINER WALL CLOCK,11971.15,1452,415,8.847411764705882
22158,3 HEARTS HANGING DECORATION RUSTIC,11944.880000000001,3463,303,3.3427301587301588
82486,WOOD S/3 CABINET ANT WHITE FINISH,11937.68,1408,403,9.03514705882353
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,11928.45,3040,477,4.9237551867219915
22087,PAPER BUNTING WHITE LACE,11893.230000000001,4089,326,3.392035928143713
22193,RED DINER WALL CLOCK,11882.57,1403,460,9.236609071274298
23300,GARDENERS KNEELING PAD CUP OF TEA,11815.689999999999,6827,758,1.906416558861578
22502,PICNIC BASKET WICKER SMALL,11807.12,1879,461,7.5369164882226976
21936,RED RETROSPOT PICNIC BAG,11671.09,3987,531,3.707003745318352
23581,JUMBO BAG PAISLEY PARK,11613.03,5035,338,2.253276353276353
22692,DOORMAT WELCOME TO OUR HOME,11555.56,1524,443,9.592089887640448
21217,RED RETROSPOT ROUND CAKE TINS,11532.39,1089,344,12.56808695652174
22730,ALARM CLOCK BAKELIKE IVORY,11479.65,2892,570,4.41
21481,FAWN BLUE HOT WATER BOTTLE,11466.37,3313,490,4.10219801980198
22356,CHARLOTTE BAG PINK POLKADOT,11420.289999999999,9719,742,1.2505013192612138
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",11407.56,2133,430,7.381116173120729
22041,"RECORD FRAME 7"" SINGLE SIZE",11354.56,4374,361,3.676493150684932
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,11338.27,978,290,13.377210884353742
21080,SET/20 RED RETROSPOT PAPER NAPKINS,11319.36,13210,986,1.091887351778656
47566B,TEA TIME PARTY BUNTING,11290.12,2382,365,5.5593766937669375
22605,WOODEN CROQUET GARDEN SET,11276.21,782,299,16.2249
22570,FELTCRAFT CUSHION RABBIT,11227.47,3092,386,4.2893670886075945
23170,REGENCY TEA PLATE ROSES,11117.05,6869,445,2.0747533632286994
22413,METAL SIGN TAKE IT OR LEAVE IT,11104.79,3777,412,3.345584725536993
22662,LUNCH BAG DOLLY GIRL DESIGN,11090.58,6724,682,1.9310028653295128
20711,JUMBO BAG TOYS,11014.62,5007,522,3.1267175572519084
85014B,RED RETROSPOT UMBRELLA,10981.95,1915,350,6.821473087818697
22988,SOLDIERS EGG CUP,10938.31,9137,418,1.4932093023255815
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,10910.61,1359,261,9.306958174904944
23209,LUNCH BAG VINTAGE DOILY,10820.1,6562,601,1.8949918962722854
22617,BAKING SET SPACEBOY DESIGN,10745.050000000001,2209,464,5.468758029978586
22846,BREAD BIN DINER STYLE RED,10676.619999999999,665,278,17.699460431654675
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,10621.6,3265,422,3.5049311926605506
21791,VINTAGE HEADS AND TAILS CARD GAME,10535.65,7889,607,1.5049592169657422
21891,TRADITIONAL WOODEN SKIPPING ROPE,10526.0,8145,425,1.5877702702702703
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,10518.25,16449,621,0.7267993630573248
23209,LUNCH BAG DOILEY PATTERN,10510.44,6556,492,1.7319161676646706
47590A,BLUE HAPPY BIRTHDAY BUNTING,10502.650000000001,1992,390,5.863657289002558
23208,LUNCH BAG VINTAGE LEAF DESIGN,10498.01,6342,668,1.9316279069767441
22992,REVOLVER WOODEN RULER,10379.84,5236,348,2.2687186629526463
22169,FAMILY ALBUM WHITE PICTURE FRAME,10354.26,1198,372,10.148418230563003
21914,BLUE HARMONICA IN BOX,10343.56,7879,603,1.430652528548124
84997B,CHILDRENS CUTLERY RETROSPOT RED,10316.86,2634,262,4.4931698113207545
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,10297.27,8706,347,1.46601108033241
23582,VINTAGE DOILY JUMBO BAG RED,10233.45,4815,259,2.212744360902256
22970,LONDON BUS COFFEE MUG,10224.75,4367,317,2.7268923076923075
82600,NO SINGING METAL SIGN,10195.86,4789,496,2.5365469061876245
84997C,CHILDRENS CUTLERY POLKADOT BLUE,10154.91,2583,233,4.405726495726496
22569,FELTCRAFT CUSHION BUTTERFLY,10133.33,2765,348,4.270704225352112
21218,RED SPOTTY BISCUIT TIN,10116.49,2433,394,5.90964824120603
22556,PLASTERS IN TIN CIRCUS PARADE,10070.109999999999,6118,571,1.7852667814113596
22633,HAND WARMER UNION JACK,10057.320000000002,4867,479,2.194527559055118
22621,TRADITIONAL KNITTING NANCY,10056.949999999999,6150,609,1.8810466988727856
23171,REGENCY TEA PLATE GREEN,10051.99,6247,381,2.128433420365535
48173C,DOORMAT BLACK FLOCK,10025.11,1802,188,8.199633507853404
20679,EDWARDIAN PARASOL RED,10021.42,1710,326,7.003669724770643
23076,ICE CREAM SUNDAE LIP GLOSS,9965.76,8100,277,1.3499280575539567
22791,T-LIGHT GLASS FLUTED ANTIQUE,9963.880000000001,8027,345,1.5092592592592593
22690,DOORMAT HOME SWEET HOME BLUE,9959.6,1621,285,8.340590277777778
22619,SET OF 6 SOLDIER SKITTLES,9921.29,2487,443,4.656
22654,DELUXE SEWING KIT,9898.95,1412,328,7.746706948640484
22555,PLASTERS IN TIN STRONGMAN,9863.279999999999,6023,515,1.8486603773584904
22766,PHOTO FRAME CORNICE,9843.59,3297,504,3.209284332688588
21314,SMALL GLASS HEART TRINKET POT,9811.58,4252,541,2.837449541284404
22838,3 TIER CAKE TIN RED AND CREAM,9765.11,689,168,17.272142857142857
23240,SET OF 4 KNICK KNACK TINS DOILY,9759.68,2360,353,4.538154269972452
22561,WOODEN SCHOOL COLOURING SET,9749.82,5888,433,1.776591928251121
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,9748.13,3938,573,3.125494880546075
22776,SWEETHEART CAKESTAND 3 TIER,9697.25,959,377,11.180978835978836
22844,VINTAGE CREAM DOG FOOD CONTAINER,9686.82,1006,416,10.812494061757718
22144,CHRISTMAS CRAFT LITTLE FRIENDS,9681.18,4082,544,2.574267857142857
22560,TRADITIONAL MODELLING CLAY,9602.32,8168,389,1.4219487179487178
23175,REGENCY MILK JUG PINK,9600.15,3164,329,3.876897590361446
22978,PANTRY ROLLING PIN,9568.73,2465,238,4.341757322175733
22456,NATURAL SLATE CHALKBOARD LARGE,9554.470000000001,1731,476,6.666889352818372
35970,ZINC FOLKART SLEIGH BELLS,9546.53,5070,456,2.4087021276595744
22952,60 CAKE CASES VINTAGE CHRISTMAS,9511.52,16055,618,0.7597067901234569
21174,POTTERING IN THE SHED METAL SIGN,9413.82,4179,538,2.6916453382084096
84375,SET OF 20 KIDS COOKIE CUTTERS,9404.150000000001,4321,517,2.511452830188679
85150,LADIES & GENTLEMEN METAL SIGN,9388.53,4039,478,3.0723700623700623
21155,RED RETROSPOT PEG BAG,9301.4,3157,485,3.1293306288032454
23319,BOX OF 6 MINI 50'S CRACKERS,9266.84,3739,403,2.6480906921241054
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,9264.91,2375,449,4.107846481876332
22966,GINGERBREAD MAN COOKIE CUTTER,9212.15,7448,670,1.4500725689404934
84991,60 TEATIME FAIRY CAKE CASES,9183.720000000001,18214,828,0.6865121668597914
23318,BOX OF 6 MINI VINTAGE CRACKERS,9167.390000000001,3811,376,2.7403385416666666
20972,PINK CREAM FELT CRAFT TRINKET BOX,9159.31,7362,616,1.4220760697305865
23080,RED METAL BOX TOP SECRET,9158.87,1079,257,9.32689393939394
48116,DOORMAT MULTICOLOUR STRIPE,9088.63,1492,201,9.659653465346535
22729,ALARM CLOCK BAKELIKE ORANGE,9080.2,2326,445,4.5094065934065934
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,9050.44,6635,441,1.5626651982378856
22759,SET OF 3 NOTEBOOKS IN PARCEL,9043.939999999999,5445,422,2.04250569476082
22989,SET 2 PANTRY DESIGN TEA TOWELS,9012.27,2815,372,3.6851187335092352
23439,HAND WARMER RED LOVE HEART,8941.61,4027,397,2.222752941176471
23322,LARGE WHITE HEART OF WICKER,8925.410000000002,3085,562,3.131646655231561
82582,AREA PATROLLED METAL SIGN,8862.990000000002,4367,437,2.3946031746031746
21889,WOODEN BOX OF DOMINOES,8862.29,6402,587,1.5762582781456953
22632,HAND WARMER RED RETROSPOT,8770.43,4354,374,2.2267441860465116
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,8754.63,10557,347,0.9517280453257789
22947,WOODEN ADVENT CALENDAR RED,8714.24,746,137,13.112481751824818
22147,FELTCRAFT BUTTERFLY HEARTS,8626.939999999999,6230,481,1.637309236947791
22652,TRAVEL SEWING KIT,8620.32,5096,467,1.969512711864407
22795,SWEETHEART RECIPE BOOK STAND,8578.0,1212,368,8.10747311827957
23082,SET 6 PAPER TABLE LANTERN HEARTS,8577.51,2333,297,4.089087947882736
71459,HANGING JAM JAR T-LIGHT HOLDER,8560.84,10792,348,0.9102578796561605
23078,ICE CREAM PEN LIP GLOSS,8553.34,6831,257,1.4267315175097277
21035,SET/2 RED RETROSPOT TEA TOWELS,8549.85,2603,394,4.537581047381546
84378,SET OF 3 HEART COOKIE CUTTERS,8540.9,6350,685,1.6270114942528737
21484,CHICK GREY HOT WATER BOTTLE,8535.52,1881,402,5.161909307875895
23256,CHILDRENS CUTLERY SPACEBOY,8525.970000000001,2079,360,4.468196721311476
23493,VINTAGE DOILY TRAVEL SEWING KIT,8509.68,3970,415,2.1534418604651164
23321,SMALL WHITE HEART OF WICKER,8473.269999999999,4737,629,1.7467228177641652
21213,PACK OF 72 SKULL CAKE CASES,8418.44,15176,663,0.7949335302806501
21210,SET OF 72 RETROSPOT PAPER  DOILIES,8374.189999999999,5812,453,1.7827133479212252
22768,FAMILY PHOTO FRAME CORNICE,8268.539999999999,868,260,10.956526717557251
72741,GRAND CHOCOLATECANDLE,8225.0,5978,292,1.5980338983050846
22192,BLUE DINER WALL CLOCK,8189.29,954,365,9.043780821917808
22725,ALARM CLOCK BAKELIKE CHOCOLATE,8168.6,1984,428,4.776544622425629
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,8161.46,5805,688,1.7151072961373388
22655,VINTAGE RED KITCHEN CABINET,8125.0,60,38,143.42105263157896
22667,RECIPE BOX RETROSPOT,8101.150000000001,2901,464,3.036289308176101
71053,WHITE METAL LANTERN,8056.5199999999995,1880,307,4.654890282131662
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,8050.53,8987,610,0.9888941548183254
21121,SET/10 RED POLKADOT PARTY CANDLES,8033.85,6634,379,1.3695876288659794
22616,PACK OF 12 LONDON TISSUES,7980.92,26135,512,0.44732954545454545
22940,FELTCRAFT CHRISTMAS FAIRY,7954.0,1930,321,4.542814371257485
21770,OPEN CLOSED METAL SIGN,7938.780000000001,1641,388,5.52150895140665
22487,WHITE WOOD GARDEN PLANT LADDER,7919.23,785,429,10.868860465116278
22352,LUNCH BOX WITH CUTLERY RETROSPOT,7873.719999999999,3093,482,3.3140286298568506
22968,ROSE COTTAGE KEEPSAKE BOX,7861.93,795,189,11.965473684210526
21136,PAINTED METAL PEARS ASSORTED,7830.32,4709,370,1.805078947368421
23238,SET OF 4 KNICK KNACK TINS LONDON,7825.56,1862,274,4.737368421052632
22557,PLASTERS IN TIN VINTAGE PAISLEY,7777.089999999999,4721,566,1.8963418803418801
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,7773.7,2446,493,3.83448
23007,SPACEBOY BABY GIFT SET,7758.699999999999,499,184,15.919027027027028
21908,CHOCOLATE THIS WAY METAL SIGN,7756.420000000001,3773,468,2.532884210526316
23204,CHARLOTTE BAG APPLES DESIGN,7741.94,7976,583,1.1219453924914675
48111,DOORMAT 3 SMILEY CATS,7732.929999999999,1175,233,9.600466101694915
21258,VICTORIAN SEWING BOX LARGE,7674.799999999999,532,163,17.17723926380368
84970S,HANGING HEART ZINC T-LIGHT HOLDER,7672.41,8905,537,1.1395555555555557
84406B,CREAM CUPID HEARTS COAT HANGER,7657.320000000001,2016,284,4.311045296167247
84949,SILVER HANGING T-LIGHT HOLDER,7642.44,4801,290,1.8603061224489794
21231,SWEETHEART CERAMIC TRINKET BOX,7628.530000000001,6063,509,1.568929961089494
22991,GIRAFFE WOODEN RULER,7608.79,3889,274,2.27135231316726
21955,DOORMAT UNION JACK GUNS AND ROSES,7597.02,1230,206,9.15847619047619
22750,FELTCRAFT PRINCESS LOLA DOLL,7563.08,2020,413,4.054037558685446
22585,PACK OF 6 BIRDY GIFT TAGS,7561.64,6232,395,1.4707692307692308
22627,MINT KITCHEN SCALES,7547.39,855,357,9.527555555555555
21668,RED STRIPE CERAMIC DRAWER KNOB,7527.66,5528,437,1.6665848214285715
22367,CHILDRENS APRON SPACEBOY DESIGN,7520.28,3755,550,2.4203577817531308
22381,TOY TIDY PINK POLKADOT,7437.9400000000005,3441,469,3.016378947368421
84836,ZINC METAL HEART DECORATION,7426.82,5944,535,1.3636727272727271
22741,FUNKY DIVA PEN,7363.86,8547,233,1.107905982905983
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,7356.18,1875,220,4.660950226244344
21169,YOU'RE CONFUSING ME METAL SIGN,7320.36,4424,450,2.2363793103448275
23083,SET 6 PAPER TABLE LANTERN STARS,7254.650000000001,1933,246,4.234640000000001
23240,SET OF 4 KNICK KNACK TINS DOILEY,7252.9400000000005,1820,182,4.2598924731182795
